Latitude,Longitude,Avg_sot_1,Avg_sot_2,Avg_sot_3
43.64323404052515,20.044896127695807,289.386237250434,281.0155758327908,286.1227162679036
43.74068016375085,20.066142477385483,291.7605141533746,282.632336086697,286.4109598795573
43.72521825170103,20.200988384951074,292.5183393690321,282.97107781304254,286.4173990885417
43.70958630143312,20.335759059908668,290.98659854465063,282.1918250189887,286.4700622558594
43.69378446734656,20.470453742291795,291.1998469034831,282.609619140625,286.5533955891927
43.677812905405936,20.605071674846243,292.4904547797309,283.5132573445638,286.6398162841797
43.66167177313592,20.739612103052423,292.49192810058594,283.77484215630426,286.7293752034505
43.645361229616235,20.874074275147393,292.03229268391925,283.48956298828125,286.82212320963544
43.838133914014335,20.08746329747146,292.38458421495227,282.85740915934247,286.70277913411456
43.822643043080426,20.222539492702396,292.17331356472437,282.75390879313153,286.7200215657552
43.806981824608414,20.357540062692806,291.7562433878581,282.8452911376953,286.778569539388
43.79115041357937,20.492464243810446,294.15136379665796,284.0840191311306,286.8511098225911
43.77514896654495,20.627311275158632,294.6273676554362,284.4435162014431,286.9267883300781
43.758977641622124,20.76208039859847,293.80440690782336,284.1175325181749,287.005615234375
43.74263659848825,20.896770858771305,291.33185407850476,282.74555036756726,287.08766174316406
43.72612599837566,21.031381903120575,292.35815684000653,283.13133833143445,287.1788330078125
43.709446004066656,21.165912781913505,293.5365244547526,284.0691418117947,287.2952524820964
43.692596779888156,21.300362748262756,294.3971472846137,284.96011691623266,287.4192148844401
43.6755784917063,21.43473105814749,293.3596377902561,284.61494700113934,287.5508575439453
43.65839130692127,21.569016970434546,292.40416463216144,284.1289698282878,287.6902770996094
43.64103539446178,21.703219746899094,291.43329026963977,283.3434643215603,287.83758544921875
43.93559500745713,20.108858976901274,291.65656026204425,282.2437057495117,286.9981180826823
43.9200751186948,20.244166226146348,293.0580240885417,283.21223704020184,287.0262451171875
43.90438457250646,20.3793974548056,295.25960032145184,284.31361219618054,287.0835316975911
43.88852352445808,20.51455189555827,294.09703063964844,284.08256276448566,287.145268758138
43.872492131691324,20.6496287838427,293.5376222398546,283.95521460639105,287.21014404296875
43.85629055291875,20.78462735787855,292.1110483805339,283.4141133626302,287.2782338460286
43.83991894841846,20.919546858689472,289.92855156792535,282.12135060628253,287.34954325358075
43.82337748002887,21.0543865301251,290.9961920844184,282.73110538058813,287.42942301432294
43.80666631114356,21.189145618883003,292.1442828708225,283.55609300401477,287.5234731038411
43.789785606705884,21.323823374530235,294.00801934136285,284.8428454928928,287.6251169840495
43.77273553320363,21.458419049524878,294.13477834065753,285.0947681003147,287.73447672526044
43.75551625866373,21.59293189923713,291.40095689561633,283.6605962117513,287.8516438802083
43.738127952646764,21.72736118197014,289.666027492947,282.017322116428,287.9767659505208
43.72057078624145,21.86170615898078,290.4263102213542,281.8371064927843,288.0379994710286
43.702844932059364,21.995966094500005,288.7357694837782,281.06255594889325,288.08514912923175
43.68495056422906,22.130140255753076,291.50439453125,282.85418616400824,288.1322937011719
43.66688785839086,22.26422791297938,294.7498304578993,284.47998046875,288.17938741048175
43.64865699169093,22.39822833945206,290.8554416232639,282.4879642062717,288.2264709472656
44.03306315953892,20.130329907312387,291.1698345608181,282.1077143351237,287.29705810546875
44.01751419379389,20.265868980632206,292.20000542534723,282.76863352457684,287.33710225423175
44.00179426016561,20.40133163528472,293.720452202691,283.68545616997613,287.3849182128906
43.98590351480786,20.53671710023798,292.62276882595484,283.1380445692274,287.4358418782552
43.969842115455734,20.672024607242633,293.63108910454645,283.8804473876953,287.48988850911456
43.953610221420384,20.807253390854555,293.68915388319226,284.3047561645508,287.5471445719401
43.937207993583876,20.942402688457577,291.3256081475152,283.2681350708008,287.6077067057292
43.92063559439395,21.07747174028566,292.35961066351996,283.69584316677515,287.6721700032552
43.90389318785869,21.21245978944495,292.98988850911456,284.28722890218097,287.74375406901044
43.886980939541154,21.34736608193566,294.11912027994794,285.2707299126519,287.8229726155599
43.86989901655415,21.482189866673536,292.6310518052843,284.56510077582465,287.9099629720052
43.85264758755458,21.61693039551119,289.1609658135308,282.1002036200629,288.0048421223958
43.8352268227382,21.751586923259197,288.73187934027777,281.152459886339,288.1070963541667
43.81763689383399,21.886158707706784,290.9494111802843,282.4463390774197,288.1538441975911
43.799877974098706,22.02064500964252,291.1736475626628,282.82000732421875,288.20054117838544
43.781950238311204,22.155045092874502,292.32339647081164,283.55052354600696,288.2472330729167
43.76385386276695,22.289358224250492,293.7833497789171,284.342039320204,288.2938944498698
43.74558902527227,22.423583673677626,290.5913552178277,282.81612311469183,288.3405253092448
43.72715590513869,22.55772071414202,292.705568101671,283.99112192789715,288.4468180338542
43.708554683177276,22.691768621727903,292.9066518147786,284.3647672865126,288.6331787109375
43.68978554169276,22.825726675636872,293.9138641357422,284.7752753363715,288.82032775878906
43.670848664477845,22.95959415820647,295.1542265150282,285.55772823757593,289.0082499186198
43.65174423680732,23.09337035492868,294.6045413547092,285.4161851671007,289.197026570638
43.63247244543219,23.22705455446831,294.7739986843533,285.36680687798395,289.38660685221356
44.13053808503785,20.15187648305536,290.63850657145184,282.56918165418836,287.59962972005206
44.11495998294439,20.287648154245232,292.16653018527563,283.24827575683594,287.6458384195964
44.0992106019394,20.423343005926853,292.8200403849284,283.56521775987414,287.68274943033856
44.08329009876773,20.558960263333915,291.0538974338108,282.66717953152124,287.7227732340495
44.06719863176095,20.694499154506616,293.05991617838544,283.8865237765842,287.76598103841144
44.05093636083204,20.82995891031453,294.21258121066626,284.70728386773004,287.81239827473956
