Latitude,Longitude,Avg_r2_2017
43.665018474576875,20.083512104776958,57.54083363215128
43.65708738741498,20.1505902513577,55.92315785090128
43.64911290515742,20.217648684218545,56.17961396111382
43.64109504907213,20.284687304287957,57.967265870836044
43.63303384053424,20.351706012680324,59.11592038472494
43.721446176096116,20.027299298007307,57.01788441340128
43.713550726892386,20.09445571220408,56.00562312867906
43.705611819978955,20.161592459532073,54.92717260784573
43.69762947655919,20.22870944049029,55.444316705067955
43.689603717943974,20.295806555763647,57.377964655558266
43.681534565551516,20.362883706223755,59.39375241597494
43.67342204090715,20.42994079292967,59.92462264166938
43.665266165643175,20.4969777171286,58.810039308336044
43.657066961498636,20.563994380256815,55.265605767567955
43.648824450319154,20.630990683940155,54.652487225002716
43.64053865405672,20.69796652999497,54.790019777086044
43.7699893214201,20.038203819495095,54.97160620159573
43.76208608510979,20.10541898653088,53.230449517567955
43.754139349594084,20.17261443410723,52.8287025557624
43.74614913611921,20.239790062478022,54.12617434395684
43.73811546603905,20.30694577208385,55.67804066340128
43.73003836081502,20.374081463552784,57.04826630486382
43.7219178420159,20.441197037701187,56.309551027086044
43.71375393131761,20.508292395534426,53.50193399853177
43.705546650502995,20.575367438247667,51.68476830588447
43.69729602146167,20.642422067226562,49.136753982967804
43.689002066189786,20.709456184048065,49.30450571907891
43.68066480678992,20.77646969048118,49.45326873991225
43.67228426547073,20.843462488487603,49.65916056103177
43.66386046454691,20.910434480222563,50.696541203392876
43.655393426438884,20.97738556803546,51.1414196756151
43.646883173672684,21.04431565447075,48.97155205408732
43.63832972887972,21.11122464226844,48.98186021380954
43.81853554739899,20.049127960541057,52.24102894465128
43.8106245151568,20.11640198034806,52.44258059395684
43.80266994217118,20.183656227919045,52.921747260623505
43.79467184973126,20.25089060326195,55.42592477798462
43.786630259234094,20.318105006572296,56.81665823194716
43.77854519218445,20.385299338233835,56.0701847076416
43.77041667019464,20.4524734988195,52.46688625547621
43.762244714984284,20.519627389092022,51.02862681282891
43.75402934838018,20.586760910004728,49.51842716005113
43.74577059231606,20.653873962702363,49.39581431282891
43.737468468832404,20.72096644852172,49.69822306103177
43.72912300007625,20.788038268992466,50.28182766172621
43.72073420830102,20.855089325837866,52.10192314783732
43.71230211586623,20.922119520975542,54.44442515903049
43.703826745237414,20.98912875651814,54.80591604444716
43.69530811898588,21.05611693477414,52.151619328392876
43.686746259788436,21.123083958248486,50.80184719297621
43.6781411904273,21.190029729643413,50.03600517908732
43.66949293378982,21.256954151859105,48.79311238394843
43.660801512868275,21.323857127994387,48.27699910269843
43.65206695075981,21.39073856134746,48.94279771380954
43.643289270665974,21.457598355416565,48.3045056131151
43.63446849589274,21.524436413900787,48.43927129109701
43.86708481993083,20.06007177367522,53.49037790298462
43.85916598291465,20.127404746432404,53.40894344117906
43.851203563574515,20.1947178939902,55.24721384048462
43.843197583242656,20.262011116109875,55.086298041873505
43.83514806335934,20.32928431274101,53.3848548995124
43.827055025472866,20.396537384022395,51.34617227978177
43.81891849123916,20.463770230282705,50.791918913523354
43.81073848242171,20.530982752041297,47.60729434755113
43.80251502089138,20.598174850008945,47.81606170866225
43.794248128626165,20.665346425088615,50.130623234642876
43.785937827710924,20.73249737837625,51.2146618631151
43.77758414033736,20.799627611161497,51.470466984642876
43.769187088803726,20.866737024928398,55.37861569722494
43.76074669551451,20.933825521356255,57.72795380486382
43.75226298298051,21.000893002320197,57.4202823638916
43.74373597381835,21.06793936989203,54.57089016172621
43.73516569075047,21.13496452634095,53.06676689783732
43.726552156604846,21.201968374134253,52.25839016172621
43.717895394314766,21.268950815937984,49.95109849505954
43.709195426918704,21.335911754617825,49.331740856170654
43.70045227756002,21.402851093239548,49.20326863394843
43.69166596948688,21.469768735070033,48.60441886054145
43.68283652605191,21.53666458357762,49.74385028415256
43.67396397071209,21.603538542433114,54.38496356540256
43.665048327028494,21.67039051551029,55.159431828392876
43.656089618666144,21.73722040688665,54.868253495958115
43.647087869393694,21.804028120844038,55.84134372075399
43.63804310308331,21.870813561869454,57.80575344297621
43.91563710486733,20.07103531161357,56.972148683336044
43.90771045421806,20.1384273377474,56.71710311041938
43.89974017962181,20.20579948553089,55.56513918770684
43.89172630245398,20.27315165447783,51.68862014346652
43.88366884419829,20.340483744291163,48.79023705588447
43.87556782644652,20.40779565486386,49.58363983366225
43.86742327089846,20.475087286279575,49.671964486440025
43.85923519936159,20.542358538813545,48.09942759407891
43.85100363375093,20.60960931293323,50.44046481450399
43.84272859608879,20.67683950929913,51.94968785179986
43.83441010850465,20.744049028765573,51.5411049524943
43.826048193234975,20.81123777238136,53.25296476152208
43.8176428726229,20.878405641390657,56.92608748541938
43.80919416911815,20.945552537233652,60.1776065826416
43.80070210527677,21.012678361547216,58.7405948638916
43.79216670376094,21.079783016165834,55.04332939783732
