,Unnamed: 0,Latitude,Longitude,avg_t2m,avg_vsw_0,avg_vsw_1,avg_tciwv,avg_r2,avg_voltso,avg_orog,avg_sot1,avg_sot2,avg_sot3,avg_vwiltm_0
33,33,43.81853555,20.04912796,289.9830331,0.147062118,0.161274092,15.8238018,52.24102894,0.272105217,366.344,292.3845842,282.8574092,286.7027791,0.153108239
34,34,43.81062452,20.11640198,289.8972312,0.147062118,0.161274092,15.8238018,52.44258059,0.272105217,352.74536,292.3845842,282.8574092,286.7027791,0.153108239
35,35,43.80266994,20.18365623,289.6674135,0.154363193,0.167535728,15.94649165,52.92174726,0.276158988,408.13647,292.1733136,282.7539088,286.7200216,0.156265438
36,36,43.79467185,20.2508906,289.4644513,0.154363193,0.167535728,15.94649165,55.42592478,0.347114503,489.01782,292.1733136,282.7539088,286.7200216,0.207501739
37,37,43.78663026,20.31810501,289.1018211,0.153306788,0.164815097,16.13886397,56.81665823,0.325980783,539.34985,291.7562434,282.8452911,286.7785695,0.192656964
38,38,43.77854519,20.38529934,289.366361,0.153306788,0.164815097,16.13886397,56.07018471,0.272105217,531.17847,291.7562434,282.8452911,286.7785695,0.153108239
39,39,43.77041667,20.4524735,290.0541322,0.13830577,0.149096308,16.59946545,52.46688626,0.272105217,426.3523,294.1513638,284.0840191,286.8511098,0.153108239
40,40,43.76224471,20.51962739,290.257203,0.13830577,0.149096308,16.59946545,51.02862681,0.324410677,268.72046,294.1513638,284.0840191,286.8511098,0.190902188
41,41,43.75402935,20.58676091,290.7825394,0.138725135,0.152063895,16.82585995,49.51842716,0.356431365,193.93481,294.6273677,284.4435162,286.9267883,0.21400632
42,42,43.74577059,20.65387396,290.7378345,0.138725135,0.152063895,16.82585995,49.39581431,0.258219242,229.70825,294.6273677,284.4435162,286.9267883,0.138736546
43,43,43.73746847,20.72096645,290.5287416,0.13134413,0.14302229,16.59719731,49.69822306,0.25317502,245.38794,293.8044069,284.1175325,287.0056152,0.132052854
44,44,43.729123,20.78803827,290.3934063,0.13134413,0.14302229,16.59719731,50.28182766,0.248869672,209.31274,293.8044069,284.1175325,287.0056152,0.127176732
45,45,43.72073421,20.85508933,289.7612178,0.155644432,0.164343852,16.29578602,52.10192315,0.247688964,283.5359,291.3318541,282.7455504,287.0876617,0.130806059
46,46,43.71230212,20.92211952,289.3194317,0.155644432,0.164343852,16.29578602,54.44442516,0.26819104,475.00513,291.3318541,282.7455504,287.0876617,0.149692759
47,47,43.70382675,20.98912876,289.3609085,0.182276749,0.207515424,16.63764591,54.80591604,0.29933399,522.85034,292.3581568,283.1313383,287.178833,0.178572655
48,48,43.69530812,21.05611693,290.1014142,0.182276749,0.207515424,16.63764591,52.15161933,0.372702777,371.6018,292.3581568,283.1313383,287.178833,0.240657121
49,49,43.68674626,21.12308396,290.3134096,0.201571442,0.249065134,17.30141439,50.80184719,0.366166711,274.34595,293.5365245,284.0691418,287.2952525,0.234122217
50,50,43.67814119,21.19002973,290.6285409,0.201571442,0.249065134,17.30141439,50.03600518,0.351184249,286.88306,293.5365245,284.0691418,287.2952525,0.219175905
51,51,43.66949293,21.25695415,291.1058358,0.196623294,0.250586114,17.72547354,48.79311238,0.320509851,247.17749,294.3971473,284.9601169,287.4192149,0.19178465
